Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
Nuclear New,Silver,3,lognormal,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Yes
Solar Distributed,Glass,3,lognormal,63366.666666666664,66700.0,8787.680771018788,0.13867986487667736,8300.0,54065.0,69835.0,15770.0,7497.0372796021375,0.11829068557329675,29342.47851132848,0.46297514205624635,2.0,14994.074559204275,0.2365813711465935,58684.95702265696,Yes
offshore wind,Lead,3,lognormal,5743.333333333333,6720.0,1691.6362887256034,0.2945391100508886,1465.0,3936.5,6720.0,2783.5,1583.3875873854554,0.2749792032544543,6153.99136770359,1.0687336799956697,2.0,3166.775174770911,0.5499584065089086,12307.98273540718,Yes
offshore wind,Terbium,3,lognormal,6.386666666666667,6.16,0.537152988759565,0.08410537402289639,0.5,6.008,6.958,0.9500000000000002,0.4304701186641895,0.06740343483362354,1.6865689847533103,0.2640846314931159,2.0,0.860940237328379,0.1348068696672471,3.3731379695066206,Yes
onshore wind,Boron,3,lognormal,2.6666666666666665,1.0,2.886751345948129,1.0825317547305484,2.5,1.0,5.75,4.75,2.6486193516445558,1.0202768536367366,9.16654203978866,3.531051249503798,2.0,5.2972387032891115,2.040553707273473,18.33308407957732,Yes
onshore wind,Fiberglass,3,lognormal,8653.333333333334,8980.0,1126.1142630005772,0.13013647107094498,1090.0,7479.0,9550.0,2071.0,952.2184074975669,0.11002694796864988,3727.6456605142903,0.43072206114227773,2.0,1904.4368149951338,0.22005389593729976,7455.291321028581,Yes
onshore wind,Manganese,3,lognormal,790.0,790.0,10.0,0.012658227848101266,10.0,780.5,799.5,19.0,8.165674569314424,0.010336296901064702,32.00848076935199,0.04051706417830212,2.0,16.33134913862885,0.020672593802129404,64.01696153870398,Yes
utility-scale solar pv,Glass,3,lognormal,63366.666666666664,66700.0,8787.680771018788,0.13867986487667736,8300.0,54065.0,69835.0,15770.0,7497.0372796021375,0.11829068557329675,29342.47851132848,0.46297514205624635,2.0,14994.074559204275,0.2365813711465935,58684.95702265696,Yes
ASIGE,Cement,4,lognormal,7413.5,7147.5,2352.7748865258372,0.31736357813796956,1975.0,4991.6,10287.599999999999,5295.999999999998,2087.6660881034913,0.2815312745016683,8110.493932609947,1.093737023701912,1.5,3131.499132155237,0.42229691175250245,12165.740898914919,Yes
Biomass,Copper,4,lognormal,490.75,485.5,36.782015532956684,0.07495061748946853,42.75,455.275,535.15,79.875,31.577303192393337,0.064345852515116,123.72441538998874,0.2521163044449257,1.5,47.36595478859,0.096518778772674,185.5866230849831,Yes
CDTE,Cement,4,lognormal,7413.5,7147.5,2352.7748865258372,0.31736357813796956,1975.0,4991.6,10287.599999999999,5295.999999999998,2087.6660881034913,0.2815312745016683,8110.493932609947,1.093737023701912,1.5,3131.499132155237,0.42229691175250245,12165.740898914919,Yes
CIGS,Cement,4,lognormal,7413.5,7147.5,2352.7748865258372,0.31736357813796956,1975.0,4991.6,10287.599999999999,5295.999999999998,2087.6660881034913,0.2815312745016683,8110.493932609947,1.093737023701912,1.5,3131.499132155237,0.42229691175250245,12165.740898914919,Yes
